dexnum,name,generation,type1,type2
1,Bulbasaur,1,Grass,Poison
2,Ivysaur,1,Grass,Poison
3,Venusaur,1,Grass,Poison
4,Charmander,1,Fire,
5,Charmeleon,1,Fire,
6,Charizard,1,Fire,Flying
7,Squirtle,1,Water,
8,Wartortle,1,Water,
9,Blastoise,1,Water,
10,Caterpie,1,Bug,
11,Metapod,1,Bug,
12,Butterfree,1,Bug,Flying
13,Weedle,1,Bug,Poison
14,Kakuna,1,Bug,Poison
15,Beedrill,1,Bug,Poison
16,Pidgey,1,Normal,Flying
17,Pidgeotto,1,Normal,Flying
18,Pidgeot,1,Normal,Flying
19,Rattata,1,Normal,
20,Raticate,1,Normal,
21,Spearow,1,Normal,Flying
22,Fearow,1,Normal,Flying
23,Ekans,1,Poison,
24,Arbok,1,Poison,
25,Pikachu,1,Electric,
26,Raichu,1,Electric,
27,Sandshrew,1,Ground,
28,Sandslash,1,Ground,
29,Nidoran♀,1,Poison,
30,Nidorina,1,Poison,
31,Nidoqueen,1,Poison,Ground
32,Nidoran♂,1,Poison,
33,Nidorino,1,Poison,
34,Nidoking,1,Poison,Ground
35,Clefairy,1,Fairy,
36,Clefable,1,Fairy,
37,Vulpix,1,Fire,
38,Ninetales,1,Fire,
39,Jigglypuff,1,Normal,Fairy
40,Wigglytuff,1,Normal,Fairy
41,Zubat,1,Poison,Flying
42,Golbat,1,Poison,Flying
43,Oddish,1,Grass,Poison
44,Gloom,1,Grass,Poison
45,Vileplume,1,Grass,Poison
46,Paras,1,Bug,Grass
47,Parasect,1,Bug,Grass
48,Venonat,1,Bug,Poison
49,Venomoth,1,Bug,Poison
50,Diglett,1,Ground,
51,Dugtrio,1,Ground,
52,Meowth,1,Normal,
53,Persian,1,Normal,
54,Psyduck,1,Water,
55,Golduck,1,Water,
56,Mankey,1,Fighting,
57,Primeape,1,Fighting,
58,Growlithe,1,Fire,
59,Arcanine,1,Fire,
60,Poliwag,1,Water,
61,Poliwhirl,1,Water,
62,Poliwrath,1,Water,Fighting
63,Abra,1,Psychic,
64,Kadabra,1,Psychic,
65,Alakazam,1,Psychic,
66,Machop,1,Fighting,
67,Machoke,1,Fighting,
68,Machamp,1,Fighting,
69,Bellsprout,1,Grass,Poison
70,Weepinbell,1,Grass,Poison
71,Victreebel,1,Grass,Poison
72,Tentacool,1,Water,Poison
73,Tentacruel,1,Water,Poison
74,Geodude,1,Rock,Ground
75,Graveler,1,Rock,Ground
76,Golem,1,Rock,Ground
77,Ponyta,1,Fire,
78,Rapidash,1,Fire,
79,Slowpoke,1,Water,Psychic
80,Slowbro,1,Water,Psychic
81,Magnemite,1,Electric,Steel
82,Magneton,1,Electric,Steel
83,Farfetch'd,1,Normal,Flying
84,Doduo,1,Normal,Flying
85,Dodrio,1,Normal,Flying
86,Seel,1,Water,
87,Dewgong,1,Water,Ice
88,Grimer,1,Poison,
89,Muk,1,Poison,
90,Shellder,1,Water,
91,Cloyster,1,Water,Ice
92,Gastly,1,Ghost,Poison
93,Haunter,1,Ghost,Poison
94,Gengar,1,Ghost,Poison
95,Onix,1,Rock,Ground
96,Drowzee,1,Psychic,
97,Hypno,1,Psychic,
98,Krabby,1,Water,
99,Kingler,1,Water,
100,Voltorb,1,Electric,
101,Electrode,1,Electric,
102,Exeggcute,1,Grass,Psychic
103,Exeggutor,1,Grass,Psychic
104,Cubone,1,Ground,
105,Marowak,1,Ground,
106,Hitmonlee,1,Fighting,
107,Hitmonchan,1,Fighting,
108,Lickitung,1,Normal,
109,Koffing,1,Poison,
110,Weezing,1,Poison,
111,Rhyhorn,1,Ground,Rock
112,Rhydon,1,Ground,Rock
113,Chansey,1,Normal,
114,Tangela,1,Grass,
115,Kangaskhan,1,Normal,
116,Horsea,1,Water,
117,Seadra,1,Water,
118,Goldeen,1,Water,
119,Seaking,1,Water,
120,Staryu,1,Water,
121,Starmie,1,Water,Psychic
122,Mr. Mime,1,Psychic,Fairy
123,Scyther,1,Bug,Flying
124,Jynx,1,Ice,Psychic
125,Electabuzz,1,Electric,
126,Magmar,1,Fire,
127,Pinsir,1,Bug,
128,Tauros,1,Normal,
129,Magikarp,1,Water,
130,Gyarados,1,Water,Flying
131,Lapras,1,Water,Ice
132,Ditto,1,Normal,
133,Eevee,1,Normal,
134,Vaporeon,1,Water,
135,Jolteon,1,Electric,
136,Flareon,1,Fire,
137,Porygon,1,Normal,
138,Omanyte,1,Rock,Water
139,Omastar,1,Rock,Water
140,Kabuto,1,Rock,Water
141,Kabutops,1,Rock,Water
142,Aerodactyl,1,Rock,Flying
143,Snorlax,1,Normal,
144,Articuno,1,Ice,Flying
145,Zapdos,1,Electric,Flying
146,Moltres,1,Fire,Flying
147,Dratini,1,Dragon,
148,Dragonair,1,Dragon,
149,Dragonite,1,Dragon,Flying
150,Mewtwo,1,Psychic,
151,Mew,1,Psychic,
152,Chikorita,2,Grass,
153,Bayleef,2,Grass,
154,Meganium,2,Grass,
155,Cyndaquil,2,Fire,
156,Quilava,2,Fire,
157,Typhlosion,2,Fire,
158,Totodile,2,Water,
159,Croconaw,2,Water,
160,Feraligatr,2,Water,
161,Sentret,2,Normal,
162,Furret,2,Normal,
163,Hoothoot,2,Normal,Flying
164,Noctowl,2,Normal,Flying
165,Ledyba,2,Bug,Flying
166,Ledian,2,Bug,Flying
167,Spinarak,2,Bug,Poison
168,Ariados,2,Bug,Poison
169,Crobat,2,Poison,Flying
170,Chinchou,2,Water,Electric
171,Lanturn,2,Water,Electric
172,Pichu,2,Electric,
173,Cleffa,2,Fairy,
174,Igglybuff,2,Normal,Fairy
175,Togepi,2,Fairy,
176,Togetic,2,Fairy,Flying
177,Natu,2,Psychic,Flying
178,Xatu,2,Psychic,Flying
179,Mareep,2,Electric,
180,Flaaffy,2,Electric,
181,Ampharos,2,Electric,
182,Bellossom,2,Grass,
183,Marill,2,Water,Fairy
184,Azumarill,2,Water,Fairy
185,Sudowoodo,2,Rock,
186,Politoed,2,Water,
187,Hoppip,2,Grass,Flying
188,Skiploom,2,Grass,Flying
189,Jumpluff,2,Grass,Flying
190,Aipom,2,Normal,
191,Sunkern,2,Grass,
192,Sunflora,2,Grass,
193,Yanma,2,Bug,Flying
194,Wooper,2,Water,Ground
195,Quagsire,2,Water,Ground
196,Espeon,2,Psychic,
197,Umbreon,2,Dark,
198,Murkrow,2,Dark,Flying
